"Libellé du chapitre SH";"Libellé du produit SH";"Continent";"Libellé du pays";"Libellé du flux";"Poids en KG 2000";"Valeur DHS 2000";"Poids en KG 2001";"Valeur DHS 2001";"Poids en KG 2002";"Valeur DHS 2002";"Poids en KG 2003";"Valeur DHS 2003";"Poids en KG 2004";"Valeur DHS 2004";"Poids en KG 2005";"Valeur DHS 2005";"Poids en KG 2006";"Valeur DHS 2006";"Poids en KG 2007";"Valeur DHS 2007";"Poids en KG 2008";"Valeur DHS 2008";"Poids en KG 2009";"Valeur DHS 2009";"Poids en KG 2010";"Valeur DHS 2010";"Poids en KG 2011";"Valeur DHS 2011";"Poids en KG 2012";"Valeur DHS 2012";"Poids en KG 2013";"Valeur DHS 2013";"Poids en KG 2014";"Valeur DHS 2014";"Poids en KG 2015";"Valeur DHS 2015";"Poids en KG 2016";"Valeur DHS 2016";"Poids en KG 2017";"Valeur DHS 2017";"Poids en KG 2018";"Valeur DHS 2018";"Poids en KG 2019";"Valeur DHS 2019";"Poids en KG 2020";"Valeur DHS 2020";"Poids en KG 2021";"Valeur DHS 2021";"Poids en KG 2022";"Valeur DHS 2022";"Poids en KG 2023";"Valeur DHS 2023";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS SECS";"AFRIQUE";"GUINEE EQUATORIALE";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"385";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS SECS";"ASIE";"BAHREIN";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39,4";"2308";"500";"32869";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS SECS";"AFRIQUE";"SIERRA LEONE";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"646";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS SECS";"ASIE";"ARABIE SAOUDITE";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"38";"0";"0";"0";"0";"216";"22401";"1475";"79598";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS SECS";"AFRIQUE";"COTE D'IVOIRE";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"31";"1719";"50";"4781";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"EUROPE";"BELGIQUE";"Exportations FAB";"57045";"157141";"0";"0";"599520";"5796869";"200120";"1774056";"129107";"1085612";"138600";"1135670";"194680";"1287287";"152600";"1520913";"0";"0";"23040";"329472";"0";"0";"0";"0";"0";"0";"0";"0";"49520";"470189";"96000";"883892";"5955";"41805";"345888";"3503885,04";"0";"0";"120000";"1510758";"0";"0";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS SECS";"AFRIQUE";"CAP-VERT";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"3580";"94";"3961";"60";"5047";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"AUSTRALIE";"AUSTRALIE";"Exportations FAB";"408";"135651";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS SECS";"ASIE";"SINGAPOUR";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"274";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS SECS";"AUTRE";"AVITAILLEMENT";"Exportations FAB";"0";"0";"0";"0";"0";"496";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
